neighborhood,room_type,accommodates,bedrooms,number_of_reviews,wifi,cable_tv,washer,kitchen,price
6,1,6,3.0,148,1,0,1,1,96.0
2,2,2,1.0,226,1,0,1,1,55.0
4,1,4,1.0,55,1,0,1,1,55.0
1,2,3,1.0,107,1,0,1,1,70.0
3,1,2,1.0,39,1,0,1,1,31.0
2,2,4,2.0,47,1,0,1,1,40.0
1,1,4,1.0,10,1,0,1,1,81.0
3,2,2,1.0,127,1,1,1,1,52.0
3,1,2,2.0,4,1,0,1,1,100.0
2,1,3,1.0,95,1,0,1,1,36.0
1,1,4,2.0,45,1,1,1,1,88.0
2,2,4,1.0,252,1,1,1,1,29.0
1,1,2,1.0,3,1,0,1,1,100.0
5,1,6,2.0,43,1,0,1,1,161.0
10,1,6,2.0,5,0,0,1,1,65.0
3,1,5,2.0,103,1,1,1,1,70.0
1,1,2,1.0,71,1,1,1,1,29.0
1,1,4,2.0,12,1,1,1,1,80.0
1,2,2,1.0,374,1,1,1,1,49.0
3,1,3,1.0,6,1,0,0,1,49.0
7,1,4,1.0,28,1,0,1,1,59.0
6,2,2,1.0,13,1,1,1,1,30.0
5,2,1,1.0,15,1,1,1,1,23.0
2,2,2,1.0,5,1,0,1,1,40.0
4,2,3,1.0,48,1,1,1,1,35.0
3,1,2,1.0,84,1,0,1,1,70.0
3,1,5,2.0,33,1,0,1,1,80.0
2,2,2,1.0,1,1,1,1,1,42.0
2,1,3,2.0,31,1,0,1,1,96.0
2,1,3,2.0,56,1,0,1,1,75.0
2,1,5,2.0,41,1,0,0,1,96.0
2,1,3,2.0,81,1,0,1,1,76.0
6,1,2,1.0,8,0,0,1,1,46.0
1,1,6,3.0,18,1,0,1,1,296.0
1,1,6,2.0,17,1,0,1,1,244.0
10,2,2,3.0,11,1,1,1,1,20.0
1,1,2,1.0,1,1,0,1,1,50.0
5,1,3,1.0,39,1,0,1,1,59.0
4,1,3,1.0,71,1,1,1,1,75.0
3,1,12,3.0,118,1,0,1,1,170.0
5,1,1,1.0,18,1,0,1,1,39.0
1,2,1,1.0,385,1,1,0,0,39.0
2,1,2,1.0,389,1,0,0,1,64.0
3,2,3,1.0,15,1,1,1,1,35.0
5,1,5,1.0,350,1,0,1,1,100.0
3,1,6,4.0,36,1,0,1,1,375.0
4,2,1,1.0,14,1,0,0,1,29.0
6,1,2,1.0,51,1,0,1,1,32.0
8,1,4,1.0,2,1,0,1,1,45.0
8,1,10,2.0,7,1,0,1,1,120.0
2,2,1,1.0,224,1,1,0,0,25.0
9,1,2,1.0,63,1,0,0,1,59.0
10,1,5,1.0,4,0,1,0,1,86.0
3,1,3,1.0,14,1,1,1,1,45.0
3,1,4,2.0,63,1,0,1,1,100.0
4,1,4,0.0,3,1,0,0,1,50.0
2,2,2,1.0,40,1,0,1,1,49.0
3,1,5,2.0,25,1,0,1,1,55.0
2,1,4,0.0,212,1,0,1,1,79.0
2,1,4,1.0,253,1,0,1,1,75.0
1,2,2,1.0,398,1,1,0,0,49.0
2,2,2,1.0,341,1,1,1,0,38.0
7,1,5,2.0,33,1,0,1,1,65.0
1,2,2,1.0,132,1,0,1,1,75.0
2,1,4,1.0,90,1,0,1,1,75.0
7,2,2,1.0,101,1,0,1,1,38.0
1,2,4,2.0,6,1,0,1,0,89.0
2,1,4,2.0,301,1,0,0,1,74.0
1,1,2,0.0,92,1,1,0,1,50.0
3,1,2,1.0,27,1,0,0,1,120.0
5,2,1,1.0,9,1,0,0,0,38.0
6,2,2,1.0,10,1,0,1,1,25.0
9,1,4,2.0,0,1,0,1,1,89.0
2,1,2,1.0,189,1,0,1,1,88.0
3,1,4,2.0,110,1,0,1,1,125.0
7,2,2,1.0,129,1,1,1,1,49.0
5,1,2,1.0,2,1,0,1,1,50.0
4,1,4,2.0,0,1,0,1,1,100.0
5,2,1,1.0,5,1,0,1,1,35.0
2,1,2,1.0,22,1,0,1,1,70.0
1,1,5,3.0,7,1,0,1,1,195.0
1,1,2,1.0,0,1,1,1,1,150.0
5,2,2,1.0,31,1,0,1,1,200.0
2,1,5,1.0,245,1,0,0,1,165.0
1,2,2,1.0,0,1,0,1,1,55.0
2,2,1,1.0,161,1,1,0,1,35.0
5,2,1,1.0,7,0,1,0,0,51.0
4,2,2,1.0,189,1,0,1,1,35.0
2,2,3,1.0,195,1,0,0,0,45.0
5,1,2,1.0,16,1,0,1,1,60.0
9,2,2,1.0,29,1,0,1,1,45.0
2,1,4,2.0,413,1,0,1,1,75.0
2,1,2,1.0,195,1,0,1,1,69.0
1,1,3,1.0,6,1,1,1,1,45.0
8,1,4,1.0,2,1,0,1,1,50.0
2,1,5,3.0,29,1,0,1,1,110.0
2,2,1,1.0,19,1,1,1,1,95.0
1,1,4,2.0,41,1,0,1,1,75.0
8,2,1,1.0,200,1,0,1,1,30.0
2,1,2,1.0,51,1,0,1,1,65.0
2,1,2,1.0,35,1,0,1,1,65.0
2,2,2,1.0,106,1,1,1,1,46.0
6,1,8,4.0,7,1,0,1,1,65.0
1,2,3,1.0,130,1,1,1,1,28.0
5,1,1,1.0,18,0,0,0,1,30.0
6,1,2,1.0,62,1,0,1,1,49.0
1,1,2,1.0,7,1,0,1,1,55.0
5,1,2,1.0,36,1,0,1,1,98.0
4,2,2,1.0,30,1,1,1,1,32.0
11,1,4,1.0,15,1,0,1,1,55.0
2,1,2,1.0,42,1,0,1,1,39.0
2,1,4,2.0,39,1,0,1,1,82.0
1,2,4,1.0,277,1,1,1,1,46.0
2,2,1,1.0,127,1,1,1,1,60.0
10,1,2,1.0,3,1,0,1,1,60.0
4,1,3,0.0,5,1,0,0,1,43.0
2,1,4,2.0,7,1,0,0,1,85.0
3,1,2,1.0,373,1,1,0,1,60.0
3,2,2,1.0,80,1,1,0,1,58.0
2,2,2,1.0,101,1,0,1,1,55.0
1,2,2,1.0,55,1,1,1,1,30.0
4,2,2,1.0,146,1,1,0,0,31.0
11,2,1,1.0,16,1,0,1,1,35.0
2,1,2,1.0,105,1,0,1,1,45.0
1,1,2,1.0,42,1,0,0,1,100.0
9,1,4,1.0,0,1,0,1,1,95.0
9,1,4,1.0,1,1,0,1,1,95.0
2,1,4,0.0,73,1,0,0,1,63.0
2,1,5,1.0,24,1,0,1,1,175.0
2,1,5,2.0,179,1,0,1,1,130.0
2,1,8,2.0,150,1,0,1,1,120.0
8,1,4,2.0,69,1,0,1,1,64.0
6,1,3,1.0,163,1,0,1,1,55.0
6,2,3,1.0,62,1,1,1,1,29.0
2,1,6,3.0,104,1,0,1,1,150.0
3,1,4,1.0,32,1,0,1,1,76.0
2,1,4,1.0,67,1,0,1,1,79.0
6,1,3,0.0,119,1,0,1,1,49.0
5,2,3,1.0,12,1,0,1,1,45.0
5,2,3,1.0,5,1,0,1,1,45.0
3,1,2,1.0,148,1,0,1,1,91.0
6,1,4,1.0,114,1,0,1,1,69.0
5,1,6,2.0,44,1,0,1,1,70.0
4,1,2,2.0,3,1,1,1,1,55.0
3,2,1,1.0,6,1,1,0,0,45.0
3,2,2,1.0,3,1,1,0,0,50.0
3,2,2,1.0,8,1,1,0,0,55.0
5,1,6,2.0,14,1,0,1,1,93.0
1,2,8,1.0,94,1,1,1,1,175.0
3,2,4,1.0,14,1,1,0,0,95.0
6,1,3,1.0,28,1,0,0,1,52.0
6,1,4,1.0,18,1,0,0,1,59.0
5,1,4,1.0,4,1,0,1,1,58.0
6,1,6,2.0,1,1,0,1,1,72.0
2,1,6,2.0,7,1,0,1,1,95.0
12,2,2,1.0,26,1,0,1,1,40.0
1,1,4,2.0,30,1,0,1,1,55.0
2,1,2,1.0,51,1,1,1,1,79.0
1,1,4,1.0,2,1,0,1,1,56.0
6,2,1,1.0,111,1,1,1,0,32.0
1,2,4,1.0,40,1,0,1,1,32.0
1,2,5,1.0,131,1,0,1,1,32.0
1,2,2,1.0,30,1,0,1,1,28.0
4,2,2,1.0,63,1,1,1,1,49.0
5,1,2,1.0,6,1,0,1,1,70.0
1,1,4,1.0,95,1,1,1,1,80.0
1,1,3,2.0,99,1,1,1,1,75.0
1,1,4,0.0,112,1,0,0,1,55.0
1,1,5,2.0,79,1,0,0,1,65.0
1,1,6,2.0,142,1,0,1,1,96.0
6,1,6,2.0,35,1,0,0,1,51.0
1,2,1,1.0,74,1,1,1,1,33.0
9,1,2,2.0,69,1,0,1,1,59.0
3,1,3,0.0,113,1,0,0,1,99.0
3,2,2,1.0,201,1,1,1,1,49.0
2,1,2,1.0,66,1,0,1,1,148.0
4,1,4,1.0,37,1,0,0,1,55.0
1,1,2,1.0,9,0,0,1,1,69.0
1,1,2,1.0,0,1,1,1,1,60.0
1,1,2,1.0,72,1,0,1,1,55.0
2,2,1,1.0,129,1,1,1,1,60.0
6,2,1,1.0,0,1,0,1,1,29.0
4,2,1,1.0,3,1,0,1,1,45.0
3,1,2,1.0,426,1,0,0,1,60.0
10,1,6,2.0,1,0,0,1,1,75.0
1,2,4,1.0,4,1,0,1,1,60.0
1,2,1,1.0,1,1,0,1,0,19.0
1,2,2,1.0,4,1,0,1,0,29.0
1,2,2,1.0,1,1,0,1,0,29.0
1,3,3,1.0,10,1,0,1,0,9.0
1,3,4,1.0,5,1,0,1,0,9.0
1,3,6,1.0,58,1,0,1,0,9.0
1,3,6,1.0,25,1,0,1,0,9.0
1,3,8,1.0,73,1,0,1,0,9.0
6,1,2,1.0,11,1,0,1,1,55.0
8,1,4,1.0,5,1,0,1,1,85.0
1,1,2,1.0,30,1,1,0,1,48.0
4,1,5,1.0,40,1,1,1,1,55.0
2,1,3,1.0,89,1,1,1,1,129.0
3,1,4,2.0,42,1,0,1,1,69.0
8,1,4,2.0,16,1,0,1,1,46.0
1,1,2,1.0,56,1,0,1,1,55.0
4,1,4,1.0,14,1,0,0,1,53.0
1,1,4,1.0,2,1,0,1,1,65.0
3,1,3,1.0,166,1,1,1,1,89.0
2,1,2,1.0,58,1,1,1,1,70.0
1,2,2,1.0,202,1,1,1,0,43.0
5,1,8,2.0,64,1,0,1,1,125.0
2,1,4,1.0,6,1,0,0,1,61.0
2,1,4,1.0,18,0,0,1,1,64.0
2,1,2,1.0,28,1,0,1,1,65.0
1,1,3,1.0,23,1,1,1,1,80.0
1,2,2,1.0,81,1,1,1,1,55.0
4,1,4,3.0,39,1,0,1,1,70.0
6,1,4,1.0,104,1,0,0,1,50.0
6,1,4,2.0,50,1,0,1,1,59.0
4,1,5,3.0,67,1,1,1,1,65.0
4,2,1,1.0,4,1,0,1,1,40.0
2,2,2,2.0,42,1,1,1,1,76.0
1,1,3,2.0,86,1,1,1,1,45.0
3,1,3,2.0,0,1,0,1,1,60.0
5,2,1,1.0,0,1,0,1,1,29.0
5,1,2,1.0,15,1,0,0,1,34.0
5,1,2,1.0,18,1,0,0,1,50.0
5,1,2,1.0,18,1,0,0,1,34.0
1,1,4,0.0,3,1,1,1,1,75.0
4,2,2,1.0,8,1,1,1,1,65.0
5,2,4,1.0,18,1,0,1,1,80.0
2,1,5,2.0,10,1,0,1,1,120.0
3,2,2,1.0,498,1,1,0,1,50.0
4,2,3,1.0,27,1,1,1,0,54.0
1,2,4,1.0,21,1,0,1,1,29.0
6,1,2,1.0,17,1,0,1,1,30.0
1,1,5,3.0,15,1,0,1,1,40.0
3,1,2,1.0,57,1,0,0,1,64.0
6,1,4,1.0,109,1,0,1,1,55.0
3,2,2,1.0,31,1,0,1,1,66.0
3,2,2,1.0,161,1,1,1,1,37.0
3,1,2,1.0,201,1,0,0,1,69.0
2,2,1,1.0,97,1,1,1,1,60.0
3,1,4,2.0,162,1,0,1,1,165.0
5,1,2,1.0,3,1,0,1,1,70.0
5,1,2,1.0,35,1,0,0,1,38.0
2,1,3,1.0,8,1,1,1,1,69.0
2,2,2,1.0,8,1,0,1,0,35.0
3,1,2,1.0,12,1,0,1,1,65.0
6,1,8,3.0,127,1,0,1,1,235.0
5,1,3,2.0,1,1,0,1,1,38.0
6,1,2,1.0,44,1,0,1,1,54.0
1,2,2,1.0,142,1,1,0,1,30.0
5,1,2,1.0,4,0,0,1,1,31.0
2,1,6,1.0,234,1,0,1,1,84.0
3,2,2,1.0,76,1,1,1,1,45.0
6,2,2,1.0,47,1,0,1,1,43.0
2,1,4,1.0,56,1,0,1,1,77.0
1,2,2,1.0,92,1,1,1,1,38.0
6,1,2,1.0,175,1,0,1,1,39.0
6,1,2,1.0,46,1,0,1,1,44.0
2,1,7,2.0,126,1,0,1,1,149.0
3,1,4,0.0,273,1,1,0,1,87.0
3,1,4,0.0,253,1,1,0,1,95.0
4,2,2,1.0,52,1,1,0,1,27.0
4,2,3,1.0,121,1,0,0,1,27.0
4,2,3,1.0,147,1,1,0,1,27.0
4,1,3,1.0,197,1,0,1,1,36.0
4,2,2,2.0,1,1,1,1,1,30.0
9,2,2,1.0,27,1,0,1,1,55.0
3,2,2,1.0,43,1,0,1,1,28.0
1,1,4,2.0,14,1,1,1,1,72.0
6,2,2,1.0,12,0,0,1,1,35.0
3,2,2,1.0,24,1,1,1,1,40.0
3,1,5,1.0,34,1,0,1,1,70.0
3,2,2,1.0,8,1,0,1,1,48.0
2,1,2,1.0,133,0,1,0,1,54.0
3,1,2,1.0,6,1,0,0,1,38.0
2,1,2,1.0,16,1,1,1,1,95.0
1,1,5,1.0,258,0,0,0,1,65.0
1,1,2,1.0,138,1,0,1,1,60.0
3,2,2,1.0,141,1,1,1,1,70.0
5,1,2,1.0,4,1,0,1,1,48.0
8,2,3,1.0,77,1,1,1,1,50.0
1,2,2,1.0,81,1,0,1,1,35.0
2,1,1,1.0,19,1,1,1,1,65.0
5,2,2,1.0,38,1,0,1,1,29.0
8,1,15,8.0,5,1,0,0,1,74.0
2,1,2,1.0,1,1,0,1,1,60.0
3,1,6,2.0,108,1,0,0,1,48.0
1,1,2,1.0,58,1,0,1,1,59.0
2,2,2,1.0,65,1,1,1,0,36.0
6,2,2,1.0,231,1,0,1,1,39.0
2,1,2,1.0,121,1,0,1,1,36.0
1,1,2,1.0,313,1,0,1,1,89.0
1,1,2,1.0,9,1,1,0,1,78.0
3,2,2,1.0,16,1,0,1,0,49.0
1,1,4,1.0,180,1,0,1,1,82.0
2,1,4,2.0,19,1,0,1,1,33.0
2,1,4,2.0,23,1,0,1,1,33.0
2,1,2,1.0,10,1,0,1,1,33.0
4,1,2,1.0,41,1,1,1,1,60.0
9,1,3,2.0,1,1,0,1,1,48.0
3,2,2,1.0,54,1,1,1,1,40.0
10,1,2,1.0,12,1,0,1,1,45.0
1,2,4,1.0,75,1,1,1,1,25.0
2,2,1,1.0,275,1,0,1,1,29.0
1,1,2,1.0,15,1,0,1,1,49.0
4,1,2,1.0,54,1,0,1,1,67.0
1,2,1,1.0,19,1,1,1,1,33.0
3,1,3,2.0,34,1,0,1,1,65.0
1,1,2,1.0,15,1,0,1,1,80.0
4,1,2,2.0,26,1,0,1,1,86.0
5,1,2,2.0,5,1,0,1,1,75.0
9,2,2,1.0,108,1,1,1,1,40.0
4,1,2,1.0,139,1,1,1,1,51.0
3,1,4,2.0,42,1,1,1,1,130.0
3,1,2,1.0,10,1,1,1,1,80.0
3,1,6,2.0,148,1,0,1,1,99.0
2,2,2,1.0,12,1,0,1,1,180.0
4,2,2,1.0,6,1,1,1,1,25.0
4,1,5,2.0,11,1,0,1,1,50.0
4,1,2,1.0,15,1,0,1,1,36.0
2,1,2,1.0,9,1,0,1,1,39.0
1,1,5,2.0,32,1,1,1,1,64.0
2,2,2,1.0,51,1,0,1,1,100.0
9,1,2,1.0,8,1,0,1,1,65.0
2,1,4,1.0,115,1,0,0,1,70.0
2,1,5,1.0,90,1,0,0,1,85.0
1,1,4,1.0,44,1,0,1,1,65.0
1,1,2,2.0,0,1,0,1,1,75.0
2,2,2,1.0,18,1,0,1,0,39.0
3,2,4,1.0,28,1,0,1,1,22.0
1,2,2,1.0,86,1,1,1,1,51.0
3,2,2,1.0,21,1,0,1,1,29.0
10,1,2,1.0,26,1,0,1,1,50.0
5,2,3,1.0,10,1,0,1,1,60.0
3,1,2,1.0,0,1,1,1,1,95.0
3,2,2,1.0,7,1,0,1,1,59.0
3,1,2,2.0,19,1,0,1,1,56.0
3,1,2,1.0,141,1,0,1,1,48.0
5,1,2,1.0,0,0,0,0,1,28.0
3,1,2,1.0,55,1,0,1,1,109.0
2,1,5,3.0,6,1,0,1,1,130.0
9,1,2,1.0,13,1,1,0,1,90.0
1,1,4,1.0,211,1,0,1,1,83.0
3,1,4,2.0,77,1,0,0,1,70.0
1,1,2,1.0,14,0,1,1,1,60.0
3,1,5,3.0,10,1,0,1,1,209.0
3,1,2,1.0,9,1,0,1,1,70.0
1,2,2,1.0,27,1,1,1,1,44.0
3,2,2,1.0,75,1,1,1,1,34.0
1,2,3,1.0,17,1,0,1,1,30.0
4,2,2,1.0,5,1,0,1,1,33.0
5,1,6,2.0,67,1,0,1,1,95.0
2,2,2,1.0,111,1,0,1,1,35.0
4,1,3,1.0,14,1,1,1,1,47.0
3,1,6,2.0,107,1,0,1,1,189.0
1,2,1,1.0,154,1,1,1,0,30.0
6,1,3,1.0,42,1,1,1,1,85.0
1,2,4,1.0,276,1,1,1,1,15.0
1,1,2,1.0,8,1,1,1,1,58.0
5,1,4,1.0,73,0,0,1,1,53.0
2,2,2,1.0,41,1,1,0,0,45.0
1,2,2,1.0,12,1,1,1,1,35.0
4,1,4,1.0,76,1,1,1,1,65.0
6,1,2,1.0,57,1,0,0,1,65.0
2,2,2,1.0,168,1,1,1,1,44.0
2,1,2,1.0,234,1,0,1,1,125.0
5,2,2,1.0,16,1,0,1,1,45.0
1,1,2,1.0,3,1,1,1,1,50.0
2,1,2,0.0,267,1,1,0,1,75.0
2,1,2,1.0,227,1,1,0,1,75.0
3,1,3,1.0,152,1,0,0,1,73.0
1,1,4,2.0,5,1,1,1,1,39.0
2,1,4,1.0,7,1,0,1,1,98.0
1,1,3,2.0,6,1,1,1,1,65.0
1,1,3,1.0,45,1,1,1,1,80.0
3,2,2,1.0,47,1,1,1,1,35.0
4,2,2,1.0,10,1,1,1,1,35.0
6,1,5,2.0,51,1,0,1,1,235.0
1,1,2,1.0,17,1,1,0,1,60.0
1,1,4,1.0,99,1,0,1,1,115.0
3,2,2,1.0,482,1,1,0,1,46.0
1,1,4,2.0,0,1,1,1,1,79.0
8,1,3,2.0,1,1,1,1,1,37.0
3,1,3,1.0,35,1,0,1,1,52.0
3,1,3,2.0,61,1,0,1,1,99.0
8,1,4,1.0,5,1,0,1,1,51.0
3,1,5,2.0,2,1,0,1,1,160.0
2,1,4,2.0,10,1,0,1,1,63.0
4,2,2,1.0,255,1,1,0,1,49.0
4,2,2,1.0,7,1,1,1,1,40.0
2,2,6,1.0,90,1,1,0,1,90.0
6,1,3,1.0,192,1,0,0,1,64.0
2,1,2,0.0,44,1,0,1,1,100.0
2,1,4,2.0,3,1,0,1,1,64.0
4,1,1,1.0,0,0,1,1,1,21.0
1,1,4,2.0,72,1,1,1,1,80.0
3,1,2,2.0,3,1,0,1,1,38.0
3,1,2,1.0,296,1,1,1,1,65.0
5,1,6,1.0,15,0,0,0,1,80.0
9,1,6,1.0,3,0,0,0,1,80.0
3,1,4,1.0,166,0,0,0,1,68.0
8,1,4,1.0,2,1,0,1,1,99.0
6,2,2,1.0,37,1,0,0,1,40.0
1,2,2,1.0,26,1,1,1,1,38.0
5,1,1,1.0,3,1,0,1,1,70.0
1,1,4,1.0,8,1,0,1,1,85.0
2,1,2,1.0,9,1,1,1,1,39.0
3,1,6,2.0,2,1,0,1,1,79.0
6,1,4,1.0,8,1,0,1,1,50.0
8,1,5,3.0,110,1,0,1,1,59.0
2,1,5,2.0,5,1,0,1,1,120.0
2,2,2,1.0,2,1,1,1,1,50.0
4,1,2,1.0,6,1,1,1,1,70.0
3,2,6,3.0,10,1,0,1,1,30.0
3,1,2,1.0,146,1,0,1,1,46.0
4,1,2,1.0,15,1,0,1,1,60.0
1,1,3,1.0,18,1,0,1,1,75.0
3,2,2,1.0,123,1,0,1,1,33.0
1,1,2,1.0,22,1,1,1,1,50.0
12,2,4,2.0,50,1,0,1,1,49.0
8,1,2,1.0,35,1,0,1,1,50.0
3,2,2,1.0,418,1,1,0,1,46.0
3,2,2,1.0,358,1,1,1,0,30.0
2,2,5,1.0,6,1,1,1,1,120.0
3,1,2,2.0,6,1,1,1,1,48.0
1,2,3,1.0,2,1,1,1,1,15.0
6,1,2,1.0,76,1,0,0,1,23.0
1,1,2,1.0,24,1,0,1,1,45.0
6,1,3,1.0,117,1,0,1,1,76.0
3,1,2,1.0,37,1,0,1,1,70.0
7,1,3,2.0,3,1,1,1,1,30.0
4,1,2,1.0,24,1,0,1,1,50.0
1,2,2,1.0,357,1,1,0,0,22.0
3,2,1,1.0,23,1,1,1,1,30.0
2,1,3,1.0,7,1,1,1,1,45.0
4,1,4,1.0,103,1,0,1,1,100.0
1,2,2,1.0,46,1,0,1,1,50.0
3,2,3,1.0,20,1,0,0,0,33.0
4,1,2,1.0,86,1,0,1,1,55.0
3,1,2,1.0,36,1,0,1,1,48.0
4,1,2,1.0,29,1,0,1,1,60.0
5,2,2,1.0,25,1,0,1,1,25.0
9,1,2,1.0,11,1,0,1,1,70.0
4,2,4,1.0,5,1,1,1,1,50.0
2,1,6,3.0,99,1,0,1,1,65.0
1,1,3,1.0,4,1,1,1,1,35.0
2,1,6,4.0,61,1,0,0,1,160.0
5,1,8,3.0,43,1,0,0,1,140.0
1,1,4,2.0,3,1,0,1,1,70.0
1,1,3,1.0,9,1,1,1,1,70.0
10,2,1,1.0,19,1,0,1,1,31.0
2,1,3,1.0,7,1,1,1,1,65.0
1,1,4,1.0,74,1,0,1,1,98.0
1,1,2,1.0,54,1,1,1,1,120.0
1,2,2,1.0,47,1,1,1,1,76.0
2,1,4,2.0,9,1,1,1,1,80.0
2,2,2,1.0,67,1,1,1,1,44.0
1,1,6,3.0,59,1,1,1,1,75.0
1,1,4,1.0,19,1,1,1,1,95.0
4,1,6,0.0,26,1,1,0,1,235.0
2,1,4,2.0,17,1,0,1,1,100.0
7,1,3,1.0,116,1,0,0,1,37.0
2,1,2,1.0,276,1,0,0,1,62.0
3,1,3,1.0,45,1,0,0,1,80.0
4,1,2,1.0,13,1,1,1,1,45.0
3,1,2,1.0,30,1,0,1,1,60.0
1,2,2,1.0,49,1,1,1,1,36.0
4,1,2,1.0,44,1,0,1,1,85.0
2,1,2,1.0,110,1,0,1,1,55.0
1,2,2,1.0,7,1,1,1,1,35.0
2,2,2,1.0,7,1,1,1,1,24.0
10,2,2,1.0,17,1,0,1,1,49.0
8,1,2,1.0,29,1,0,1,1,99.0
2,1,5,3.0,9,1,0,1,1,100.0
1,2,2,1.0,10,1,1,1,1,35.0
1,1,2,1.0,13,1,0,1,1,109.0
1,2,1,1.0,34,1,1,1,1,34.0
1,1,2,1.0,2,1,1,1,1,35.0
3,2,4,2.0,150,1,0,1,1,102.0
4,2,2,1.0,2,1,1,1,1,29.0
4,1,3,1.0,15,1,0,1,1,69.0
1,2,2,1.0,0,1,1,1,1,45.0
4,1,3,1.0,2,1,0,1,1,35.0
1,2,2,1.0,79,1,1,1,1,45.0
4,2,2,1.0,66,1,0,1,1,19.0
3,1,4,1.0,10,1,0,1,1,85.0
5,1,2,1.0,42,1,1,0,1,39.0
2,1,3,1.0,69,1,0,1,1,89.0
4,1,2,1.0,1,1,1,1,1,40.0
3,1,2,1.0,2,1,1,1,1,65.0
3,1,3,1.0,4,1,1,1,1,45.0
